Model,Variant1,Variant2,Flip_Rate_%,Flips_Count
GPT-5,Zero-Standard,Zero-Extended,0,0
GPT-5,Zero-Standard,Few1,0,0
GPT-5,Zero-Standard,Few2,28.6,2
GPT-5,Zero-Standard,Few3-Standard,0,0
GPT-5,Zero-Standard,Few3-Extended,0,0
GPT-5,Zero-Extended,Few1,0,0
GPT-5,Zero-Extended,Few2,28.6,2
GPT-5,Zero-Extended,Few3-Standard,0,0
GPT-5,Zero-Extended,Few3-Extended,0,0
GPT-5,Few1,Few2,28.6,2
GPT-5,Few1,Few3-Standard,0,0
GPT-5,Few1,Few3-Extended,0,0
GPT-5,Few2,Few3-Standard,28.6,2
GPT-5,Few2,Few3-Extended,28.6,2
GPT-5,Few3-Standard,Few3-Extended,0,0
Grok,Zero-Standard,Zero-Expert,0,0
Grok,Zero-Standard,Few1,14.3,1
Grok,Zero-Standard,Few2,0,0
Grok,Zero-Standard,Few3-Standard,14.3,1
Grok,Zero-Standard,Few3-Expert,0,0
Grok,Zero-Expert,Few1,14.3,1
Grok,Zero-Expert,Few2,0,0
Grok,Zero-Expert,Few3-Standard,14.3,1
Grok,Zero-Expert,Few3-Expert,0,0
Grok,Few1,Few2,14.3,1
Grok,Few1,Few3-Standard,0,0
Grok,Few1,Few3-Expert,14.3,1
Grok,Few2,Few3-Standard,14.3,1
Grok,Few2,Few3-Expert,0,0
Grok,Few3-Standard,Few3-Expert,14.3,1
